field,subject_manual
Aerospace Engineering,Engineering
Applied Mathematics,Mathematics
Artificial Intelligence,Computer Science
Arts and Humanities (miscellaneous),Other
Behavioral Neuroscience,Biology
Biotechnology,Biology
Cellular and Molecular Neuroscience,Biology
Computational Mathematics,Mathematics
Computational Mechanics,Engineering
Computational Theory and Mathematics,Computer Science
Computer Networks and Communications,Computer Science
Computer Science Applications,Computer Science
Computer Vision and Pattern Recognition,Computer Science
Condensed Matter Physics,Physics
Control and Systems Engineering,Engineering
Developmental and Educational Psychology,Other
Ecology,Other
"Ecology, Evolution, Behavior and Systematics",Biology
Electrical and Electronic Engineering,Engineering
Environmental Chemistry,Other
Environmental Engineering,Engineering
Epidemiology,Epidemiology
Experimental and Cognitive Psychology,Other
General Agricultural and Biological Sciences,Biology
"General Biochemistry, Genetics and Molecular Biology",Biology
General Chemical Engineering,Engineering
General Chemistry,Other
General Computer Science,Computer Science
General Engineering,Engineering
General Immunology and Microbiology,Biology
General Mathematics,Mathematics
General Medicine,Medicine
General Neuroscience,Other
General Physics and Astronomy,Physics
General Social Sciences,Other
General Veterinary,Other
Genetics,Biology
"Geography, Planning and Development",Other
Geometry and Topology,Mathematics
Hardware and Architecture,Computer Science
Health Informatics,Medicine
Health Information Management,Medicine
Health Policy,Public Health
Health(social science),Public Health
Human-Computer Interaction,Computer Science
Industrial and Manufacturing Engineering,Engineering
Infectious Diseases,Epidemiology
Information Systems,Computer Science
Information Systems and Management,Other
Instrumentation,Other
Library and Information Sciences,Other
Management Information SystemsSocial Sciences (miscellaneous),Other
Management Science and Operations Research,Other
Mechanical Engineering,Engineering
Mechanics of Materials,Other
Microbiology,Biology
Microbiology (medical),Medicine
Modelling and Simulation,Other
Molecular Biology,Biology
Molecular Medicine,Medicine
Multidisciplinary,Other
Ocean Engineering,Engineering
Orthopedics and Sports Medicine,Medicine
Parasitology,Medicine
Pollution,Other
"Public Health, Environmental and Occupational Health",Public Health
Social Psychology,Other
Software,Computer Science
Statistical and Nonlinear Physics,Physics
Statistics and Probability,Mathematics
"Statistics, Probability and Uncertainty",Mathematics
Surgery,Medicine
Theoretical Computer Science,Computer Science
Virology,Biology
Waste Management and Disposal,Other
preprint,Other
